line_number	field_count	reason	raw_preview
172395	16	16_fields_missing_information	-15.8500   23.7000 -4.564603806     -3.326299667      294.2548828     0.7009201646     -5.244491577      3.528129578     -9.838714600      4.356532097
173272	16	16_fields_missing_information	-10.0500   29.0000  6.341229439     0.5948638916      297.0664062     0.5835983008     -4.225307465      1.230322838      7.244024277     0.8346557617
177161	16	16_fields_missing_information	-1.9500   32.5500 -1.947095871     -2.968983650      288.0004883     0.5357930064     -4.362213135     -6.659609795     -1.691238403     -2.545497894 
177692	16	16_fields_missing_information	-6.9000   30.9250 -.7795257568      7.008218765      302.3857422     0.1602993049     -.3917741776      8.701802254     -.7788696289      6.795769691 
178816	16	16_fields_missing_information	-6.6000   34.3000  4.254840851     -1.271662712      294.6887207     0.5519318469      4.606750488      2.547729492      5.015567780     -.5430154800 
180753	1	unexpected_field_count_1	1613
187428	16	16_fields_missing_information	-10.0500   29.0000  2.963479042     -.3583765030      290.0329590     0.9086880684     0.5384521484     -7.670836449      3.287673950     -2.145950317
195469	16	16_fields_missing_information	-13.2000   27.1500 -2.446144104     -.9636058807      289.0312500     0.8828615360      2.372705460      1.366729736     -1.198150635      1.725341797
198390	16	16_fields_missing_information	-6.6000   34.3000 -.1786403656     0.4339170456      285.8041992     0.9770074487     -7.268905640      2.992317200     -3.490142822     -5.452849388 
202299	16	16_fields_missing_information	-9.7750   31.5000 -2.100109100     -6.254498482      288.2199707     0.8846100569     -1.494599342     0.3206329346     -6.790410995      1.005371094 
205755	16	16_fields_missing_information	-2.9500   35.2750  2.931619644     0.7732677460E-01  285.5541992     0.6475490332      4.633152008      3.212203979      7.216209412     -1.447006226 
208721	16	16_fields_missing_information	-6.7500   34.0500 -.4365234375      2.748950958      283.4323730     0.9999628663     -1.443496704      1.481231689     -1.392623901     -1.167663574 
211022	16	16_fields_missing_information	-3.8500   35.1750 0.7512950897E-01  1.068194389      286.5627441     0.9826564193     -5.187479019     -.2300109863      3.163967133      1.531289101 
212180	16	16_fields_missing_information	-13.2000   27.1500 -4.732801437     -4.395666122      297.7722168     0.4012287632     -7.970596313     -1.998367310     -6.386190414     -4.786621094
213485	16	16_fields_missing_information	-9.5500   30.3750  5.490770340     0.5990581512      288.0239258     0.8593993634     -.9742736816     0.7572021484      1.701904297     0.6617126465 
223089	1	unexpected_field_count_1	2309
226233	16	16_fields_missing_information	-2.9500   35.2750  4.422134399     0.6298036575      291.3420410     0.6951131821      7.284030914     -4.438877106      11.98236370     -2.249437332 
462134	16	16_fields_missing_information	-8.0250   31.6000 -.1934366226     -1.275151253      290.1181641     0.4603621960     -.7270002365     -.3343744278     -1.723693848     -.7520637512 
464343	16	16_fields_missing_information	-2.9000   35.1500  1.631668091     0.6499633789      285.2990723     0.9614354372      1.413814545     -.6199417114      1.578277588     -.6430473328 
481322	16	16_fields_missing_information	-7.6500   33.5500 -.7126770020     -.4425973892      282.6513672     0.9276364446     -1.759460449     -2.622625351     -7.611709595     -2.829998016 
493950	16	16_fields_missing_information	-13.2000   27.1500  5.831753731     -2.297157288      292.3674316     0.6215348244      4.701899529     -.7031402588      6.495330811     -2.814117432
513432	16	16_fields_missing_information	-6.4000   32.3500 -1.212082863     -3.271697998      302.8686523     0.1431138180     -1.358024597     -3.389941216     -1.436950684     -3.781539917 
517384	16	16_fields_missing_information	-8.0250   31.6000 -1.474162102     0.9837484360      289.4387207     0.7347877026     -4.675246239     -.9481792450     -3.675003052      2.867066383 
535446	16	16_fields_missing_information	-2.9000   35.1500 -.9444446564     0.2310180664E-01  290.4831543     0.9409376755     0.6462097168E-01 -4.062088013     0.3398132324     -2.370697021 
537962	16	16_fields_missing_information	-10.0500   29.0000  2.478397369      2.317123413      289.3847656     0.9458793104      4.419457436     -4.557662964      2.849990845      2.585235596
568396	16	16_fields_missing_information	-11.1500   28.4500 -.2706451416     -6.309020996      296.1547852     0.7896609642      1.229887009     -13.20071411     -1.690277100     -8.968353271
578328	16	16_fields_missing_information	-9.5500   30.3750 -1.455626488      2.739715576      303.0356445     0.4983044155      3.225743294     -2.195037842     -2.549713135     -2.512557983 
583171	16	16_fields_missing_information	-13.2000   27.1500 -.4182233810     -8.885131836      294.6958008     0.8360628486     -.3004932404E-01 -13.40275574     -2.411422729     -16.50457764
594953	16	16_fields_missing_information	-13.2000   27.1500 -2.264649391     -4.108901978      297.1108398     0.8262210488     -3.607498169     -7.055612564     -5.976638794     -12.08914185
608636	16	16_fields_missing_information	-3.8500   35.1750 0.4545879364     0.7939052582      294.3693848     0.5235949755     -1.895991325      1.544829369     -.7676973343     -.1805267334 
617127	16	16_fields_missing_information	-13.2000   27.1500 -6.474588394     -5.028591156      314.7167969     0.1561742015     -6.708745956     -.7772092819     -7.333786011     -4.042986870
640294	16	16_fields_missing_information	-13.2000   27.1500  2.906930923     -3.822992325      299.0646973     0.6266977191      4.140107155     -1.480117798      2.698163033     -2.931523323
652253	16	16_fields_missing_information	-13.2000   27.1500  2.891222954     -4.336826324      295.9555664     0.6407495737      10.44422436      7.308300018     -1.857116699     0.3896846771
660046	16	16_fields_missing_information	-1.9250   34.7750 -2.193771362     -2.355199814      286.7553711     0.6133692861     -6.474161148     -2.443969727     -3.045547485     -2.648788452 
663114	16	16_fields_missing_information	-10.1750   29.3500  2.116236687     -.5165586472      289.1945801     0.8210608289      5.362825394     -1.636238098     0.7913875580     -2.398194313
677509	16	16_fields_missing_information	-9.7750   31.5000 -3.863700867      2.301466942      283.6406250     0.8489883542      2.357282639     -9.657623291     -.5698652267     -3.303268433 
694560	16	16_fields_missing_information	-7.5750   33.3500 -1.705225945     -1.965753555      292.3510742     0.9008493423      5.297163963     -.5326080322     -4.215269089     -2.870223999 
707308	16	16_fields_missing_information	-13.2000   27.1500 -3.543880463     -8.306365967      305.6508789     0.4522126764     -4.256851196     0.4626827240     -5.637695312     -9.678771973
745040	16	16_fields_missing_information	-5.1500   33.5000 -1.111020088     -1.993743896      285.7214355     0.9954688549     -1.035576820     -1.542984009     -1.084256172     -1.673904419 
